text,label
"Namaste, please read this carefully. Kal se WHO ne declare kiya hai ki pani mein namak dalkar nahane se Corona virus khatam ho jata hai. Sabko bhejo aur jaldi share karo taki sab bach sakein.",HEALTH_FAKE
"Breaking news! Government is giving free 5000 rupees to everyone who has an Aadhaar card under the PM-Kisan Digital Yojana. Click this link to register: http://bit.ly/fake-subsidy-link. Jaldi forward karo!",SCAM
"ISRO has successfully launched the PSLV-C58 mission, placing the XPoSat satellite into its intended orbit to study X-ray emissions from celestial sources.",TRUE
"RBI has announced that all 500 rupee notes with the green strip near Gandhi ji's face are fake and will be invalid from midnight. Viral ho raha hai, apne doston ko bhi batao.",FINANCIAL_FAKE
"Big breaking! Election Commission has decided that those who do not vote in the upcoming elections will have 350 rupees deducted from their linked bank accounts. Sabko share karo.",POLITICAL_FAKE
"Attention! Local authorities have reported that a specific community is intentionally spreading a new virus in the vegetable market. Be careful and buy only from known shops. Forwarded as received.",COMMUNAL
"Kya aapko pata hai? Papaya seeds and honey mixture can cure stage 4 cancer in just 30 days. Doctors are hiding this to make money. Yeh secret sabko batao, forward karo!",HEALTH_FAKE
"Your electricity bill for the last month was not updated. Power will be disconnected tonight at 9:30 PM. Please contact our officer at 9876543210 to avoid disconnection. KYC pending.",SCAM
"India's UPI system has now been officially integrated with Singapore's PayNow, allowing users in both countries to make instant cross-border fund transfers using their mobile apps.",TRUE
"Market Alert: A big private bank is going to file for bankruptcy on Monday. Withdraw all your money immediately before the ATMs run dry. Viral news, share fast!",FINANCIAL_FAKE
"Breaking! PM has announced that the Constitution will be changed tomorrow morning to remove certain rights. Sabko bhejo before the internet is shut down.",POLITICAL_FAKE
"Watch out! Children are being kidnapped by a gang dressed as sadhus in the outskirts of the city. Viral video dekho aur apne area ke groups mein share karo jaldi.",COMMUNAL
"Dengue ka pakka ilaaj mil gaya hai. Just 2 drops of Kalmegh juice in the ear can kill the virus in 2 hours. Doctors don't want you to know this. Please forward to save lives.",HEALTH_FAKE
"Congratulations! You have won a Tata Safari in the KBC Lucky Draw. To claim your prize, please pay the GST of 12,500 rupees to this account number. Jaldi share karo announcement.",SCAM
"The Indian cricket team has won the T20 World Cup 2024 by defeating South Africa in a thrilling final held at Barbados.",TRUE
"Investment double karne ka mauka! Invest only 10,000 in 'Bharat Crypto Coin' and get 20,000 back in 7 days. Limited time offer, many people are earning. Join the Telegram group now.",FINANCIAL_FAKE
"Exposed: A video shows a prominent leader admitted to a hospital because of a secret illness, but the media is lying that he is on a foreign tour. Viral ho raha hai video.",POLITICAL_FAKE
"Alert! Some people are giving poisoned prasadam near temples to make people unconscious and steal their kidneys. Stay away and warn your family. Forwarded many times.",COMMUNAL
"Corona vaccine lagwane se DNA change ho raha hai aur log 2 saal mein mar jayenge. Japan ne ban kar di hai vaccine. Sachai sabko batao, forward karo!",HEALTH_FAKE
"URGENT: Your SBI YONO account has been blocked due to suspicious activity. Update your PAN card details here: http://sbi-update-kyc.com to reactivate. Failure will lead to permanent closure.",SCAM
"Finance Minister Nirmala Sitharaman announced that the Indian economy is currently the fifth largest in the world by nominal GDP.",TRUE
"Stock Market Tip: Internal news from 'Company X' suggests a 500% jump tomorrow. Buy at opening bell. Only for premium members. Don't share with anyone else but your close ones.",FINANCIAL_FAKE
